gamma,p,d_static,alpha_static,F_raw,F_static,Y_static,R_static,d_adaptive,alpha_adaptive,F_adaptive,Y_adaptive,R_adaptive,delta_F,delta_Y,delta_T
0.03,0.08,1,0.47894737124443054,0.9061520276754369,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.03,0.09,1,0.47894737124443054,0.8963031698736408,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.03,0.09999999999999999,1,0.47894737124443054,0.8864543120718447,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.03,0.11,1,0.47894737124443054,0.8766054542700485,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.03,0.12,1,0.47894737124443054,0.8667565964682524,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.03,0.13,1,0.47894737124443054,0.8569077386664561,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.03,0.14,1,0.47894737124443054,0.8470588808646602,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.03,0.15000000000000002,1,0.47894737124443054,0.8372100230628641,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.03,0.16,1,0.47894737124443054,0.8273611652610678,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.03,0.17,1,0.47894737124443054,0.817512307459272,0.7165999865863957,0.5,100.0,1,0.47894737124443054,0.0,0.0,-10000.0,-0.7165999865863957,-0.5,-10100.0
0.03,0.18000000000000002,1,0.47894737124443054,0.8076634496574756,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.03,0.19,1,0.47894737124443054,0.7978145918556796,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.03,0.2,1,0.47894737124443054,0.7879657340538835,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.04,0.01,1,0.3947368562221527,0.9700999895855034,0.0,0.0,0.0,1,0.3947368562221527,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.04,0.02,1,0.3947368562221527,0.9603020306143706,0.0,0.0,0.0,1,0.3947368562221527,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.04,0.03,3,0.47894737124443054,0.9505040716432378,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.04,0.04,1,0.5631579160690308,0.9407061126721051,0.0,0.0,0.0,1,0.4368421137332916,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.04,0.05,1,0.4368421137332916,0.9309081537009724,0.0,0.0,0.0,1,0.5631579160690308,0.8756347121470234,0.5,-9900.0,0.8756347121470234,0.5,-9900.0
0.04,0.060000000000000005,1,0.47894737124443054,0.9211101947298397,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.04,0.06999999999999999,1,0.47894737124443054,0.9113122357587072,0.0,0.0,0.0,1,0.4368421137332916,0.85000058631768,0.5,-9900.0,0.85000058631768,0.5,-9900.0
0.04,0.08,1,0.47894737124443054,0.9015142767875743,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
